"Date","Price","Open","High","Low","Vol.","Change %"
"10/07/1992","85.620","84.820","85.650","84.200","1.04K","1.06%"
"10/06/1992","84.720","84.950","85.000","84.370","0.58K","0.18%"
"10/05/1992","84.570","83.300","84.800","82.800","1.63K","1.02%"
"10/02/1992","83.720","83.550","85.150","83.120","4.07K","-0.13%"
"10/01/1992","83.830","82.710","83.930","82.640","1.15K","0.88%"
"09/30/1992","83.100","82.500","83.390","82.000","2.09K","0.72%"
"09/29/1992","82.510","84.200","84.450","82.500","3.17K","-2.09%"
"09/28/1992","84.270","85.410","85.490","84.160","1.26K","-1.57%"
"09/25/1992","85.610","85.680","86.050","85.280","0.77K","-0.17%"
"09/24/1992","85.760","86.050","86.600","85.650","1.19K","-0.51%"
"09/23/1992","86.200","86.800","87.360","86.010","2.31K","-0.29%"
"09/22/1992","86.450","85.900","86.560","85.320","1.50K","0.21%"
"09/21/1992","86.270","85.900","86.300","86.250","1.80K","-0.53%"
"09/18/1992","86.730","85.750","86.950","85.750","1.75K","1.18%"
"09/17/1992","85.720","86.860","88.050","85.450","1.85K","1.44%"
"09/16/1992","84.500","83.520","84.700","83.130","0.08K","1.33%"
"09/15/1992","83.390","82.570","83.390","82.260","0.19K","0.53%"
"09/14/1992","82.950","83.160","83.850","82.100","0.95K","2.21%"
"09/11/1992","81.160","80.470","81.380","80.400","0.79K","1.53%"
"09/10/1992","79.940","79.750","80.070","79.200","0.72K","0.41%"
"09/09/1992","79.610","78.600","79.610","78.920","1.12K","1.23%"
"09/08/1992","78.640","78.960","79.020","78.430","1.78K","-0.52%"
"09/04/1992","79.050","79.610","80.600","78.650","0.81K","-0.65%"
"09/03/1992","79.570","78.850","79.800","78.640","3.37K","1.17%"
"09/02/1992","78.650","78.520","78.870","78.430","1.33K","0.15%"
"09/01/1992","78.530","79.100","79.170","78.510","1.62K","-0.75%"
"08/31/1992","79.120","79.330","79.660","78.990","1.69K","-0.45%"
"08/28/1992","79.480","79.610","79.670","79.200","0.59K","-0.11%"
"08/27/1992","79.570","79.580","80.000","79.540","1.55K","0.08%"
"08/26/1992","79.510","79.350","79.760","79.260","1.34K","0.34%"
"08/25/1992","79.240","79.300","79.600","78.950","1.69K","-0.04%"
"08/24/1992","79.270","80.070","80.290","79.090","2.87K","-1.45%"
"08/21/1992","80.440","81.380","81.780","80.300","1.84K","-1.03%"
"08/20/1992","81.280","81.620","81.680","81.250","1.24K","-0.37%"
"08/19/1992","81.580","81.780","81.990","81.550","0.96K","-0.23%"
"08/18/1992","81.770","82.120","82.120","81.770","0.30K","-0.30%"
"08/17/1992","82.020","82.250","82.630","81.870","3.57K","-0.16%"
"08/14/1992","82.150","81.750","82.400","81.800","3.09K","0.53%"
"08/13/1992","81.720","82.090","82.350","81.700","0.95K","-0.44%"
"08/12/1992","82.080","82.220","82.500","82.060","2.18K","-0.22%"
"08/11/1992","82.260","82.100","82.800","82.010","1.68K","0.12%"
"08/10/1992","82.160","82.180","82.490","82.120","1.11K","-0.05%"
"08/07/1992","82.200","82.730","83.000","82.060","2.27K","-0.63%"
"08/06/1992","82.720","82.980","83.200","82.720","0.72K","-0.43%"
"08/05/1992","83.080","82.680","83.140","82.660","0.95K","0.44%"
"08/04/1992","82.720","82.540","82.800","82.550","1.34K","0.12%"
"08/03/1992","82.620","82.650","82.880","82.590","0.66K","0.04%"
"07/31/1992","82.590","82.700","83.000","82.570","1.06K","-0.40%"
"07/30/1992","82.920","82.950","83.400","82.880","1.57K","-0.12%"
"07/29/1992","83.020","82.630","83.210","82.640","1.54K","0.51%"
"07/28/1992","82.600","82.950","83.200","82.500","0.04K","-0.51%"
"07/27/1992","83.020","83.580","83.840","82.970","2.58K","-1.23%"
"07/24/1992","84.050","83.100","84.180","83.100","1.41K","1.00%"
"07/23/1992","83.220","83.270","83.460","83.000","1.41K","-0.16%"
"07/22/1992","83.350","83.180","83.750","82.990","1.42K","0.00%"
"07/21/1992","83.350","83.620","84.150","83.050","4.13K","-0.16%"
"07/20/1992","83.480","81.700","83.750","81.500","5.76K","1.83%"
"07/17/1992","81.980","82.950","83.050","81.900","1.88K","-0.87%"
"07/16/1992","82.700","83.220","83.550","82.480","2.79K","-0.45%"
"07/15/1992","83.070","83.330","83.380","82.900","1.49K","-0.14%"
"07/14/1992","83.190","82.840","83.510","82.800","1.71K","0.42%"
"07/13/1992","82.840","83.380","83.380","82.810","1.85K","-0.94%"
"07/10/1992","83.630","84.280","84.600","83.500","1.55K","-0.90%"
"07/09/1992","84.390","83.400","84.750","83.100","4.12K","1.50%"
"07/08/1992","83.140","83.150","83.730","82.160","3.94K","0.00%"
"07/07/1992","83.140","84.240","84.330","83.130","4.34K","-1.27%"
"07/06/1992","84.210","84.630","85.090","84.130","1.72K","0.12%"
"07/02/1992","84.110","84.660","84.760","83.600","1.98K","-0.73%"
"07/01/1992","84.730","84.780","84.890","84.180","1.72K","-0.06%"
"06/30/1992","84.780","84.620","85.090","84.580","1.50K","0.32%"
"06/29/1992","84.510","85.300","85.430","84.340","1.32K","-0.80%"
"06/26/1992","85.190","85.420","85.740","85.100","2.27K","-0.25%"
"06/25/1992","85.400","86.000","86.110","85.300","1.79K","-0.76%"
"06/24/1992","86.050","86.870","86.870","85.980","2.65K","-0.81%"
"06/23/1992","86.750","86.530","86.900","86.420","2.20K","-0.14%"
"06/22/1992","86.870","87.190","87.350","86.730","1.60K","-0.28%"
