Date,Price,Open,High,Low,Vol.
09-13-2010,82.092,82.675,82.68,82.06,0.86K
09-10-2010,82.701,82.775,82.995,82.465,10.64K
09-09-2010,82.69,82.595,82.835,82.345,16.73K
09-08-2010,82.58,82.86,82.945,82.38,29.45K
09-07-2010,82.844,82.33,82.94,82.305,31.21K
09-06-2010,82.07,82.05,82.16,81.885,5.25K
09-03-2010,82.124,82.485,82.635,82.015,20.91K
09-02-2010,82.501,82.545,82.635,82.305,17.23K
09-01-2010,82.549,83.18,83.265,82.225,23.57K
08-31-2010,83.254,83.24,83.4,82.925,21.73K
08-30-2010,83.226,82.85,83.405,82.79,14.73K
08-27-2010,82.968,82.975,83.235,82.69,23.10K
08-26-2010,82.983,83.26,83.33,82.665,29.45K
08-25-2010,83.331,83.365,83.57,83,25.56K
08-24-2010,83.206,83.445,83.635,82.895,37.59K
08-23-2010,83.228,83.165,83.375,82.955,18.63K
08-20-2010,83.16,82.58,83.43,82.515,21.30K
08-19-2010,82.54,82.625,82.835,82.095,20.38K
08-18-2010,82.31,82.37,82.605,81.995,14.08K
08-17-2010,82.324,82.575,82.61,82.115,13.81K
08-16-2010,82.635,83.03,83.14,82.35,11.21K
08-13-2010,83.038,82.7,83.35,82.29,15.14K
08-12-2010,82.767,82.59,82.935,82.235,17.75K
08-11-2010,82.428,81.09,82.63,81.08,31.55K
08-10-2010,80.924,80.845,81.65,80.775,32.68K
08-09-2010,80.789,80.485,80.84,80.345,11.86K
08-06-2010,80.496,80.89,81.23,80.17,20.21K
08-05-2010,80.93,81.09,81.225,80.625,14.15K
08-04-2010,80.992,80.72,81.22,80.6,17.99K
08-03-2010,80.684,81.01,81.13,80.555,14.53K
08-02-2010,81.055,81.57,81.67,80.9,16.29K
07-30-2010,81.655,81.76,82.08,81.565,17.16K
07-29-2010,81.754,82.22,82.285,81.6,16.10K
07-28-2010,82.31,82.305,82.425,82.07,14.00K
07-27-2010,82.328,82.23,82.53,81.97,15.69K
07-26-2010,82.242,82.7,82.815,82.135,15.88K
07-23-2010,82.629,82.69,83.22,82.39,25.68K
07-22-2010,82.782,83.47,83.545,82.64,21.06K
07-21-2010,83.593,82.88,83.64,82.76,19.00K
07-20-2010,82.929,82.82,83.27,82.355,17.82K
07-19-2010,82.705,82.79,82.995,82.5,18.98K
07-16-2010,82.658,82.61,82.795,82.25,22.19K
